iter	RMSE
0	14.38088158
1	13.90848486
2	13.43942976
3	13.00089935
4	12.59064571
5	12.26206314
6	11.91287498
7	11.58328949
8	11.28744911
9	10.94219004
10	10.61651806
11	10.35225149
12	10.06534525
13	9.804700717
14	9.548394689
15	9.298449478
16	9.05973323
17	8.846383652
18	8.644807402
19	8.442261386
20	8.265210801
21	8.112138798
22	7.953151064
23	7.792054092
24	7.652171146
25	7.520376928
26	7.393043078
27	7.274672534
28	7.15568287
29	7.055844146
30	6.958088494
31	6.858038216
32	6.768286551
33	6.688827024
34	6.602127927
35	6.529439308
36	6.452751122
37	6.390716501
38	6.31656013
39	6.257064883
40	6.200580186
41	6.145812308
42	6.084455576
43	6.04153249
44	5.995032723
45	5.951959812
46	5.907468693
47	5.86199978
48	5.820293385
49	5.782566889
50	5.75226426
51	5.720823623
52	5.689646423
53	5.656315917
54	5.629561034
55	5.601088743
56	5.578862835
57	5.557755998
58	5.53505968
59	5.505604341
60	5.483789842
61	5.460080613
62	5.433289099
63	5.412983459
64	5.395166846
65	5.37600017
66	5.359210055
67	5.340786567
68	5.3283426
69	5.318706137
70	5.303436419
71	5.289613744
72	5.279060387
73	5.268326888
74	5.252858181
75	5.243867012
76	5.233462454
77	5.227299996
78	5.220636601
79	5.208502291
80	5.198035433
81	5.186041903
82	5.175196404
83	5.164591819
84	5.154477807
85	5.147146749
86	5.138313929
87	5.128900559
88	5.120030893
89	5.113568073
90	5.107002173
91	5.09876511
92	5.091119634
93	5.083674844
94	5.077851946
95	5.070997077
96	5.063991392
97	5.063583852
98	5.058738702
99	5.051341441
