iter	Passed	Remaining
0	1	102
1	1	96
2	2	91
3	3	89
4	4	87
5	5	86
6	6	84
7	7	82
8	8	81
9	8	80
10	9	78
11	10	77
12	11	76
13	12	75
14	13	74
15	13	72
16	14	71
17	15	70
18	16	70
19	17	68
20	18	68
21	18	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	57
32	28	57
33	28	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	51
39	34	51
40	34	50
41	35	49
42	36	48
43	37	47
44	38	46
45	38	45
46	39	44
47	40	44
48	41	43
49	42	42
50	43	41
51	43	40
52	44	39
53	45	38
54	46	38
55	47	37
56	48	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	26
68	57	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	62	20
75	63	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	71	11
86	72	10
87	73	10
88	74	9
89	75	8
90	76	7
91	76	6
92	77	5
93	78	5
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	82	0
